 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I grabbed a recipe book .
1-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	_	_	
1-2	grabbed	O	O	B-ScrEv_get_utensils	_	_	
1-3	a	O	O	O	_	_	
1-4	recipe	B-ScrPart_recipe_source	B-webanno.custom.Participants_	O	_	_	
1-5	book	I-ScrPart_recipe_source|B-ScrPart_recipe_source	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	_	_	
1-6	.	O	O	O	_	_	

#id=2
#text=I looked up a cake that I thought my wife might like .
2-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	1-1	
2-2	looked	O	O	B-ScrEv_choose_recipe	_	_	
2-3	up	O	O	I-ScrEv_choose_recipe	_	_	
2-4	a	O	O	O	_	_	
2-5	cake	B-ScrPart_cake	B-webanno.custom.Participants_	O	_	_	
2-6	that	O	O	O	_	_	
2-7	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	2-1	
2-8	thought	O	O	B-UnrelEv	_	_	
2-9	my	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	2-7	
2-10	wife	B-ScrPart_beneficiary	B-webanno.custom.Participants_	O	_	_	
2-11	might	O	O	O	_	_	
2-12	like	O	O	O	_	_	
2-13	.	O	O	O	_	_	

#id=3
#text=I thought a devil 's food cake would be perfect .
3-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	2-9	
3-2	thought	O	O	B-UnrelEv	_	_	
3-3	a	O	O	O	_	_	
3-4	devil	B-ScrPart_cake	B-webanno.custom.Participants_	O	_	_	
3-5	's	I-ScrPart_cake	I-webanno.custom.Participants_	O	_	_	
3-6	food	I-ScrPart_cake	I-webanno.custom.Participants_	O	_	_	
3-7	cake	I-ScrPart_cake|B-ScrPart_cake	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	2-5	
3-8	would	O	O	O	_	_	
3-9	be	O	O	B-UnrelEv	_	_	
3-10	perfect	O	O	O	_	_	
3-11	.	O	O	O	_	_	

#id=4
#text=I started by preheating the oven to 350 degrees .
4-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	3-1	
4-2	started	O	O	B-UnrelEv	_	_	
4-3	by	O	O	O	_	_	
4-4	preheating	O	O	B-ScrEv_preheat	_	_	
4-5	the	O	O	O	_	_	
4-6	oven	B-ScrPart_oven	B-webanno.custom.Participants_	O	_	_	
4-7	to	O	O	O	_	_	
4-8	350	O	O	O	_	_	
4-9	degrees	B-ScrPart_temperature	B-webanno.custom.Participants_	O	_	_	
4-10	.	O	O	O	_	_	

#id=5
#text=I got down the dry ingredients - flour , sugar , baking powder , cocoa powder - measured out the quantities the recipe said and put them in a bowl .
5-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	4-1	
5-2	got	O	O	B-ScrEv_get_ingridients	_	_	
5-3	down	O	O	I-ScrEv_get_ingridients	_	_	
5-4	the	O	O	O	_	_	
5-5	dry	O	O	O	_	_	
5-6	ingredients	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	_	_	
5-7	-	O	O	O	_	_	
5-8	flour	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	group_dry_ingredients	5-6	
5-9	,	O	O	O	_	_	
5-10	sugar	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	group_dry_ingredients	5-6	
5-11	,	O	O	O	_	_	
5-12	baking	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	_	_	
5-13	powder	I-ScrPart_ingridients|B-ScrPart_ingridients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	group_dry_ingredients	5-6	
5-14	,	O	O	O	_	_	
5-15	cocoa	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	_	_	
5-16	powder	I-ScrPart_ingridients|B-ScrPart_ingridients	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	group_dry_ingredients	5-6	
5-17	-	O	O	O	_	_	
5-18	measured	O	O	B-MissScrEvent	_	_	
5-19	out	O	O	I-MissScrEvent	_	_	
5-20	the	O	O	O	_	_	
5-21	quantities	B-NPart	B-webanno.custom.Participants_	O	_	_	
5-22	the	O	O	O	_	_	
5-23	recipe	B-ScrPart_baking_instructions	B-webanno.custom.Participants_	O	_	_	
5-24	said	O	O	B-UnrelEv	_	_	
5-25	and	O	O	O	_	_	
5-26	put	O	O	B-ScrEv_add_ingridients	_	_	
5-27	them	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	5-6	
5-28	in	O	O	O	_	_	
5-29	a	O	O	O	_	_	
5-30	bowl	B-ScrPart_utensil	B-webanno.custom.Participants_	O	group_bowl1_bowl2	7-6	
5-31	.	O	O	O	_	_	

#id=6
#text=Then I got the wet ingredients - eggs , oil , milk - and mixed those up in a separate bowl .
6-1	Then	O	O	O	_	_	
6-2	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	5-1	
6-3	got	O	O	B-ScrEv_get_ingridients	_	_	
6-4	the	O	O	O	_	_	
6-5	wet	O	O	O	_	_	
6-6	ingredients	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	_	_	
6-7	-	O	O	O	_	_	
6-8	eggs	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	group_wet_ingredients	6-6	
6-9	,	O	O	O	_	_	
6-10	oil	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	group_wet_ingredients	6-6	
6-11	,	O	O	O	_	_	
6-12	milk	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	group_wet_ingredients	6-6	
6-13	-	O	O	O	_	_	
6-14	and	O	O	O	_	_	
6-15	mixed	O	O	B-ScrEv_prepare_ingridients	_	_	
6-16	those	B-ScrPart_ingridients	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	6-6	
6-17	up	O	O	O	_	_	
6-18	in	O	O	O	_	_	
6-19	a	O	O	O	_	_	
6-20	separate	O	O	O	_	_	
6-21	bowl	B-ScrPart_utensil	B-webanno.custom.Participants_	O	group_bowl1_bowl2	7-6	
6-22	.	O	O	O	_	_	

#id=7
#text=Then I combined the two bowls together and mixed them thoroughly .
7-1	Then	O	O	O	_	_	
7-2	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	webanno.custom.Corefchains_	6-2	
7-3	combined	O	O	B-ScrEv_prepare_ingridients	_	_	
7-4	the	O	O	O	_	_	
7-5	two	O	O	O	_	_	
7-6	bowls	B-ScrPart_utensil	B-webanno.custom.Participants_	O	_	_	
7-7	together	O	O	O	_	_	
7-8	and	O	O	O	_	_	
