 # webanno.custom.Participants | Participant # webanno.custom.Eventsandparticipants | Event # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My boss gave me tickets to the Pittsburgh Penguins hockey game .
1-1	My	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-4	
1-2	boss	O	O	_	_	
1-3	gave	O	B-UnrelEv	_	_	
1-4	me	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-9	
1-5	tickets	O	O	_	_	
1-6	to	O	O	_	_	
1-7	the	O	O	_	_	
1-8	Pittsburgh	O	O	_	_	
1-9	Penguins	O	O	_	_	
1-10	hockey	O	O	_	_	
1-11	game	O	O	_	_	
1-12	.	O	O	_	_	

#id=2
#text=The penguins play in the Downtown area of my city .
2-1	The	O	O	_	_	
2-2	penguins	O	O	_	_	
2-3	play	O	B-UnrelEv	_	_	
2-4	in	O	O	_	_	
2-5	the	O	O	_	_	
2-6	Downtown	O	O	_	_	
2-7	area	O	O	_	_	
2-8	of	O	O	_	_	
2-9	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-1	
2-10	city	O	O	_	_	
2-11	.	O	O	_	_	

#id=3
#text=I live in a busy city so driving a car to the downtown area is n't always the best idea .
3-1	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	8-3	
3-2	live	O	B-UnrelEv	_	_	
3-3	in	O	O	_	_	
3-4	a	O	O	_	_	
3-5	busy	O	O	_	_	
3-6	city	O	O	_	_	
3-7	so	O	O	_	_	
3-8	driving	O	B-UnrelEv	_	_	
3-9	a	O	O	_	_	
3-10	car	O	O	_	_	
3-11	to	O	O	_	_	
3-12	the	O	O	_	_	
3-13	downtown	O	O	_	_	
3-14	area	O	O	_	_	
3-15	is	O	B-UnrelEv	_	_	
3-16	n't	O	O	_	_	
3-17	always	O	O	_	_	
3-18	the	O	O	_	_	
3-19	best	O	O	_	_	
3-20	idea	O	O	_	_	
3-21	.	O	O	_	_	

#id=4
#text=First , you have to deal with traffic .
4-1	First	O	O	_	_	
4-2	,	O	O	_	_	
4-3	you	O	O	_	_	
4-4	have	O	O	_	_	
4-5	to	O	O	_	_	
4-6	deal	O	B-UnrelEv	_	_	
4-7	with	O	O	_	_	
4-8	traffic	O	O	_	_	
4-9	.	O	O	_	_	

#id=5
#text=After dealing with traffic , you have to find a place to park .
5-1	After	O	O	_	_	
5-2	dealing	O	B-UnrelEv	_	_	
5-3	with	O	O	_	_	
5-4	traffic	O	O	_	_	
5-5	,	O	O	_	_	
5-6	you	O	O	_	_	
5-7	have	O	O	_	_	
5-8	to	O	O	_	_	
5-9	find	O	B-UnrelEv	_	_	
5-10	a	O	O	_	_	
5-11	place	O	O	_	_	
