 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I made sure that the doors to the airplane were all closed and all the passengers were seated and buckled in .
1-1	I	B-webanno.custom.Participants_	B-ScrPart_staff	O	_	_	
1-2	made	O	O	B-UnrelEv|B-UnrelEv	_	_	
1-3	sure	O	O	I-UnrelEv	_	_	
1-4	that	O	O	O	_	_	
1-5	the	O	O	O	_	_	
1-6	doors	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
1-7	to	O	O	O	_	_	
1-8	the	O	O	O	_	_	
1-9	airplane	B-webanno.custom.Participants_	B-ScrPart_plane	O	_	_	
1-10	were	O	O	B-UnrelEv	_	_	
1-11	all	O	O	O	_	_	
1-12	closed	O	O	B-MissScrEv	_	_	
1-13	and	O	O	O	_	_	
1-14	all	O	O	O	_	_	
1-15	the	O	O	O	_	_	
1-16	passengers	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
1-17	were	O	O	O	_	_	
1-18	seated	O	O	B-ScrEv_take_seat	_	_	
1-19	and	O	O	O	_	_	
1-20	buckled	O	O	B-ScrEv_buckle_seat_belt	_	_	
1-21	in	O	O	O	_	_	
1-22	.	O	O	O	_	_	

#id=2
#text=After I went on the speaker and told everybody we were ready to depart , I carefully increased the speed of the plane as it bolted down the runway .
2-1	After	O	O	O	_	_	
2-2	I	B-webanno.custom.Participants_	B-ScrPart_staff	O	webanno.custom.Corefchains_	1-1	
2-3	went	O	O	B-ScrEv_listen_crew	_	_	
2-4	on	O	O	O	_	_	
2-5	the	O	O	O	_	_	
2-6	speaker	B-webanno.custom.Participants_	B-ScrPart_institutional_devices	O	_	_	
2-7	and	O	O	O	_	_	
2-8	told	O	O	B-ScrEv_take_off_preparations	_	_	
2-9	everybody	B-webanno.custom.Participants_	B-ScrPart_passenger	O	_	_	
2-10	we	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	1-9	
2-11	were	O	O	B-UnrelEv	_	_	
2-12	ready	O	O	O	_	_	
2-13	to	O	O	O	_	_	
2-14	depart	O	O	B-ScrEv_take_off	_	_	
2-15	,	O	O	O	_	_	
2-16	I	B-webanno.custom.Participants_	B-ScrPart_staff	O	webanno.custom.Corefchains_	2-2	
2-17	carefully	O	O	O	_	_	
2-18	increased	O	O	B-ScrEv_take_off_preparations	_	_	
2-19	the	O	O	O	_	_	
2-20	speed	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
2-21	of	O	O	O	_	_	
2-22	the	O	O	O	_	_	
2-23	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	2-10	
2-24	as	O	O	O	_	_	
2-25	it	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	2-23	
2-26	bolted	O	O	B-RelNScrEv	_	_	
2-27	down	O	O	O	_	_	
2-28	the	O	O	O	_	_	
2-29	runway	B-webanno.custom.Participants_	B-ScrPart_location_airplane	O	_	_	
2-30	.	O	O	O	_	_	

#id=3
#text=As the plane reached maximum speed on the driveway , i slowly pulled on the lever to lift the plane off the ground slowly .
3-1	As	O	O	O	_	_	
3-2	the	O	O	O	_	_	
3-3	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	2-25	
3-4	reached	O	O	B-RelNScrEv	_	_	
3-5	maximum	O	O	O	_	_	
3-6	speed	B-webanno.custom.Participants_	B-NPart	O	_	_	
3-7	on	O	O	O	_	_	
3-8	the	O	O	O	_	_	
3-9	driveway	B-webanno.custom.Participants_	B-ScrPart_location_airplane	O	_	_	
3-10	,	O	O	O	_	_	
3-11	i	B-webanno.custom.Participants_	B-ScrPart_staff	O	webanno.custom.Corefchains_	2-16	
3-12	slowly	O	O	O	_	_	
3-13	pulled	O	O	B-ScrEv_take_off_preparations	_	_	
3-14	on	O	O	O	_	_	
3-15	the	O	O	O	_	_	
3-16	lever	B-webanno.custom.Participants_	B-MissScrPart	O	_	_	
3-17	to	O	O	B-ScrEv_take_off	_	_	
3-18	lift	O	O	I-ScrEv_take_off	_	_	
3-19	the	O	O	O	_	_	
3-20	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	3-3	
3-21	off	O	O	O	_	_	
3-22	the	O	O	O	_	_	
3-23	ground	B-webanno.custom.Participants_	B-ScrPart_location_airplane	O	webanno.custom.Corefchains_	2-29	
3-24	slowly	O	O	O	_	_	
3-25	.	O	O	O	_	_	

#id=4
#text=The plane eventually came completely off the runway and was in flight .
4-1	The	O	O	O	_	_	
4-2	plane	B-webanno.custom.Participants_	B-ScrPart_plane	O	webanno.custom.Corefchains_	3-20	
4-3	eventually	O	O	O	_	_	
4-4	came	O	O	B-UnrelEv	_	_	
4-5	completely	O	O	O	_	_	
4-6	off	O	O	O	_	_	
4-7	the	O	O	O	_	_	
