 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=I was riding my bike home from school one day when I went through a thorny patch of ground while going through the park .
1-1	I	B-ScrPart_rider	O	_	_	
1-2	was	O	O	_	_	
1-3	riding	O	B-ScrEv_ride_bike	_	_	
1-4	my	B-ScrPart_rider	O	webanno.custom.Corefchains_	1-1	
1-5	bike	B-ScrPart_bicycle	O	_	_	
1-6	home	O	O	_	_	
1-7	from	O	O	_	_	
1-8	school	O	O	_	_	
1-9	one	O	O	_	_	
1-10	day	O	O	_	_	
1-11	when	O	O	_	_	
1-12	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	1-4	
1-13	went	O	B-UnrelEv|B-UnrelEv	_	_	
1-14	through	O	I-UnrelEv	_	_	
1-15	a	O	O	_	_	
1-16	thorny	O	O	_	_	
1-17	patch	O	O	_	_	
1-18	of	O	O	_	_	
1-19	ground	O	O	_	_	
1-20	while	O	O	_	_	
1-21	going	O	B-UnrelEv	_	_	
1-22	through	O	O	_	_	
1-23	the	O	O	_	_	
1-24	park	O	O	_	_	
1-25	.	O	O	_	_	

#id=2
#text=The tire then went flat after a few more minutes of riding and I was stuck a couple of miles from home .
2-1	The	O	O	_	_	
2-2	tire	B-ScrPart_tire	O	_	_	
2-3	then	O	O	_	_	
2-4	went	O	B-RelNScrEv	_	_	
2-5	flat	O	O	_	_	
2-6	after	O	O	_	_	
2-7	a	O	O	_	_	
2-8	few	O	O	_	_	
2-9	more	O	O	_	_	
2-10	minutes	B-NPart	O	_	_	
2-11	of	O	O	_	_	
2-12	riding	O	B-ScrEv_ride_bike	_	_	
2-13	and	O	O	_	_	
2-14	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	1-12	
2-15	was	O	O	_	_	
2-16	stuck	O	B-UnrelEv	_	_	
2-17	a	O	O	_	_	
2-18	couple	O	O	_	_	
2-19	of	O	O	_	_	
2-20	miles	O	O	_	_	
2-21	from	O	O	_	_	
2-22	home	O	O	_	_	
2-23	.	O	O	_	_	

#id=3
#text=I called my dad and told him what happened and where I was .
3-1	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	2-14	
3-2	called	O	B-UnrelEv	_	_	
3-3	my	B-ScrPart_rider	O	webanno.custom.Corefchains_	3-1	
3-4	dad	B-???	O	_	_	
3-5	and	O	O	_	_	
3-6	told	O	B-UnrelEv	_	_	
3-7	him	B-???	O	webanno.custom.Corefchains_	3-4	
3-8	what	O	O	_	_	
3-9	happened	O	B-UnrelEv	_	_	
3-10	and	O	O	_	_	
3-11	where	O	O	_	_	
3-12	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	3-3	
3-13	was	O	B-UnrelEv	_	_	
3-14	.	O	O	_	_	

#id=4
#text=After a few minutes , he showed up with new inner tubes and a few tools to help me fix my bike tires .
4-1	After	O	O	_	_	
4-2	a	O	O	_	_	
4-3	few	O	O	_	_	
4-4	minutes	O	O	_	_	
4-5	,	O	O	_	_	
4-6	he	B-???	O	webanno.custom.Corefchains_	3-7	
4-7	showed	O	B-UnrelEv	_	_	
4-8	up	O	O	_	_	
4-9	with	O	O	_	_	
4-10	new	O	O	_	_	
4-11	inner	O	O	_	_	
4-12	tubes	B-ScrPart_spare_tube	O	_	_	
4-13	and	O	O	_	_	
4-14	a	O	O	_	_	
4-15	few	O	O	_	_	
4-16	tools	B-ScrPart_tool	O	_	_	
4-17	to	O	O	_	_	
4-18	help	O	B-UnrelEv	_	_	
4-19	me	B-ScrPart_rider	O	webanno.custom.Corefchains_	3-12	
4-20	fix	O	B-Evoking	_	_	
4-21	my	B-ScrPart_rider	I-Evoking	group_I_dad|webanno.custom.Corefchains_	4-6|4-19	
4-22	bike	B-ScrPart_tire	I-Evoking	_	_	
4-23	tires	I-ScrPart_tire|B-ScrPart_tire	I-Evoking	_	_	
4-24	.	O	O	_	_	

#id=5
#text=We started by removing the outer rubber of the tires and getting the damaged inner tubes out .
5-1	We	B-ScrPart_rider	O	group_I_dad	4-21	
5-2	started	O	B-UnrelEv	_	_	
5-3	by	O	O	_	_	
5-4	removing	O	B-ScrEv_take_tire_off	_	_	
5-5	the	O	O	_	_	
